Santa,12345678,10954887,426,False,03/07/2020 14:18:36,948
John,12345678,6234341,489,False,03/07/2020 14:18:11,1045
Alice,12345678,6169474,45,False,03/07/2020 14:18:40,989
Bob,12345678,23376554,7,False,03/07/2020 14:18:28,969
Mary,12345678,1527057,9,False,18/06/2020 02:14:25,1006
Tut,12345678,1428359,2,False,30/05/2020 02:45:19,1000
Peep,12345678,1277615,2,False,30/05/2020 02:45:22,1000
Mark,12345678,1238267,0,False,30/05/2020 02:45:26,1000
Rux,12345678,800,1,False,04/06/2020 20:41:31,995
FICHEKK,12345678,1600,2,False,04/06/2020 20:41:51,1016
Milje,12345678,1371,10,False,18/06/2020 02:13:04,1000
bornajedobar,dobaripeder,1000,0,False,19/05/2021 22:50:18,1000
bornajedobar1,dobaripeder,1000,0,False,19/05/2021 22:53:01,1000
jaje,12345678,1000,0,False,20/05/2021 00:31:43,1000
jaj1,12345678,1000,0,False,20/05/2021 00:32:56,1000
asdasdas,123123123,1000,0,False,20/05/2021 01:42:53,1000
asdasda3,123123123,1000,0,False,20/05/2021 01:44:39,1000
asasdasddas,123123123,1000,0,False,20/05/2021 01:46:46,1000
Kimstar,123123123,1000,0,False,20/05/2021 23:24:54,1000
